node	traffic
586	0.0015829412
587	0.0103956977
590	0.0219072941
592	0.0001675
593	0.00014625
595	0.0001595556
597	0.0001045238
598	6.20512820513E-05
599	0.0003730233
600	0.00003975
601	0.000872561
602	0.0015554651
604	0.0020004651
605	0.0020004651
606	1.33333333333E-05
607	0.00116625
608	0.000105
610	0.000444186
611	0.0037465116
614	0.0010277907
615	0.0004786747
616	0.0017118605
617	0.0104813953
618	0.0014269565
620	1.0144916279
621	0.0036136047
624	0.0055904
625	0.0241244186
626	0.000030814
627	2.66666666667E-05
630	0.0014353846
631	0.0003066667
633	0.0006668605
635	0.0020194186
636	0.001157037
637	0.0004616216
638	0.1043372093
640	0.0003112791
641	0.0014702083
642	0.0014532258
643	0.0005390909
644	0.0027442857
645	0.0016353623
646	0.0010235294
648	0.0001307143
649	0.0034784211
651	0.0022360465
654	0.000777971
655	0.1459143023
658	0.0008952439
659	0.0022410465
661	0.0001316667
662	2.5777193023
663	0.0144139535
674	0.0350702326
685	0.0014883721
692	0.0002132558
693	2.2814465
696	0.0014883721
707	0.0001071429
708	0.00069
709	0.0003283673
710	0.00816
711	0.0006974419
712	0.000552381
714	0.0001555556
715	0.0559002326
716	0.0481087209
717	0.0016787671
718	0.0022638776
719	0.000855
720	0.003206875
722	0.0004517241
724	0.0005566071
725	0.0014883721
727	0.0002132558
728	0.000444186
729	0.0038793671
731	0.0009738571
732	0.000736
733	0.000444186
734	0.0047798837
735	0.0002758333
736	0.0032360274
737	0.0006436905
738	0.0004184211
739	0.0075011628
740	0.001105
741	0.0008398837
742	0.0004591304
743	0.0020004651
744	0.0008664634
746	0.0411860465
748	0.0004196078
750	0.000444186
754	0.0046061628
755	0.0034173333
756	0.0008342857
757	0.427479186
758	0.0001811628
759	0.0003239394
761	0.00067
762	0.0008732927
763	0.0009854098
764	0.0006365574
765	0.0002370588
766	0.0001071429
768	0.0103086047
769	0.000884058
770	0.0003426744
771	0.0008415217
772	0.0003392857
773	0.0009169014
774	0.001784878
775	0.0005365217
776	0.00112
777	0.0042908219
778	0.0001725
779	0.0001225
780	0.0003730233
781	0.00036
785	0.0005217391
786	0.0003697561
787	0.0004356977
789	0.0009168293
790	0.0001036232
793	7.02941176471E-05
794	0.0008287342
796	0.0009525581
797	0.001435
799	0.0013818605
801	0.0003990476
802	0.0010019444
803	0.0812238372
805	0.0005325926
806	4.26315789474E-05
807	0.002439881
808	0.0005075581
809	7.44927536232E-05
811	2.5369051163
812	0.0002125
813	0.0147558442
814	0.0124552778
816	0.0008716279
817	0.0005952381
819	0.0009384615
822	0.0093051163
823	0.0400389535
824	0.0008248837
827	0.0007436047
828	0.0003222222
830	0.00112
831	0.0001048276
832	0.0003495349
834	0.000755
835	0.0001415556
836	0.0007938372
837	8.98550724638E-05
838	0.0002572222
839	0.0028697674
841	0.000837
844	0.0004
845	0.000382
846	0.0605793023
847	0.0008625
848	0.0002346341
851	0.0004858824
852	0.0011513953
853	0.001365
854	0.00119375
857	0.000205814
859	0.0003880952
860	0.0009
861	0.0189166279
862	0.00542
863	0.0001686667
864	0.0069233333
865	0.00053375
866	0.001460814
867	0.0002
869	0.0037037209
874	0.0012733333
875	0.0001966667
876	0.0319123256
877	0.0002132558
878	0.0005261905
880	0.0018868831
882	0.00966
883	0.0004103704
884	0.00013
886	0.0006110417
887	0.000863125
888	0.0003184884
889	0.0047824419
890	0.0015175
891	0.0014883721
893	0.0010602857
894	0.0014883721
895	0.0018258442
897	0.000362
898	0.00210125
900	0.0011744186
901	0.0001595556
905	0.0007967442
906	0.0002475
907	0.0029755814
908	0.0042879268
909	0.000075
911	0.0006990588
912	7.26086956522E-05
913	0.0068255814
915	8.11111111111E-05
918	0.0001909302
920	0.0005249153
921	0.0007865333
922	0.00013
923	0.00058375
924	0.0061533735
925	0.0001242623
926	0.0043867059
927	0.00096
928	0.0395447674
930	0.0003393421
931	0.002775
932	0.0088893023
933	0.0002283333
934	0.0004230645
935	0.0014108696
937	0.0033290909
938	0.00117
939	0.0009179268
941	0.0028542353
942	0.0008346154
943	0.0001210714
944	0.0019401639
945	0.0009090244
946	0.0006436905
947	0.0001711111
949	0.00016
950	0.0025394186
954	0.0001425
955	0.0013218182
956	0.0002869231
957	0.00035
958	0.0001095238
959	0.0009112195
960	0.0007236765
962	0.0012556471
963	0.0003123256
964	0.0038252326
965	0.0043889535
966	0.0388963953
968	0.0027266667
970	0.0005796875
971	0.0018065116
972	0.0020244444
973	0.00273
978	0.2034156977
979	0.0108655556
980	0.0020244444
982	0.00059
983	0.0003495349
984	0.0003725676
